codigo;denominacion;precio;marca;producto;stock;viajando;dto;canon
mcx44yp/a;"mac mini chip m4 pro con cpu de 12 nucleos 24gb de memoria unificada 512gb ssd gpu de 16 nucleos gigabit ethernet tres puertos thunderbolt 5, un puerto hdmi, dos puertos usb-c y toma para auriculares plata";1306.09;apple;macmini;0;0;1;5.33
mcyt4yp/a;"mac mini chip m4 con cpu de 10 nucleos 24gb de memoria unificada 512gb ssd gpu de 10 nucleos gigabit ethernet tres puertos thunderbolt 4, un puerto hdmi, dos puertos usb-c y toma para auriculares plata";924.18;apple;macmini;-4;0;1;5.33
md1q4ql/a;"iphone 16e 6.1' 128gb negro";475;apple;iphone;3;0;1;3.25
md1r4ql/a;"iphone 16e 6.1' 128gb blanco";475;apple;iphone;1;0;1;3.25
md1t4ql/a;"iphone 16e 6.1' 256gb negro";575;apple;iphone;2;0;1;3.25
md1w4ql/a;"iphone 16e 6.1' 256gb  blanco";575;apple;iphone;3;0;1;3.25
md1x4ql/a;"iphone 16e 6.1' 512gb negro ";801;apple;iphone;1;0;1;3.25
md274ql/a;"iphone 16e 6.1' 512gb blanco";801;apple;iphone;1;0;1;3.25
md2q4y/a;"imac 24' retina 4.5k chip m4 con cpu de 10 nucleos 24gb de memoria unificada 512gb ssd gpu de 10 nucleos cuatro puertos thunderbolt magic keyboard verde";1725.98;apple;imac;0;0;1;5.33
md2t4y/a;"imac 24' retina 4.5k chip m4 con cpu de 10 nucleos 24gb de memoria unificada 512gb ssd gpu de 10 nucleos cuatro puertos thunderbolt magic keyboard azul";1725.98;apple;imac;0;0;1;5.33
md2u4y/a;"imac 24' retina 4.5k chip m4 con cpu de 10 nucleos 24gb de memoria unificada 512gb ssd gpu de 10 nucleos cuatro puertos thunderbolt magic keyboard rosa";1725.98;apple;imac;1;0;1;5.33
md3h4y/a;"imac 24' retina 4.5k  display nanotexturizado chip m4 con cpu de 10 nucleos 16gb de memoria unificada 256gb ssd gpu de 10 nucleos cuatro puertos thunderbolt magic keyboard plata";1535.02;apple;imac;1;0;1;5.33
md3j4zm/a;"cargador de pared a usb-c 20w para iphone ipad ";17.31;apple;cargador;21;0;1;0
md3y4ty/a;"ipad a16 11' 128gb wifi  plata";298.92;apple;ipad;3;0;1;3.75
md463zm/a;"adaptador desde thunderbolt macho a ethernet hembra 10/100/1000mbps";26.1;apple;adaptador;0;0;1;0
md4a4ty/a;"ipad a16 11' 128gb wifi  azul";298.92;apple;ipad;11;0;1;3.75
md4d4ty/a;"ipad a16 11' 128gb wifi  amarillo";298.92;apple;ipad;1;0;1;3.75
md4e4ty/a;"ipad a16 11' 128gb wifi  rosa";298.92;apple;ipad;1;0;1;3.75
md4g4ty/a;"ipad a16 11' 256gb wifi  plata";402.15;apple;ipad;1;0;1;3.75
md4h4ty/a;"ipad a16 11' 256gb wifi  azul";402.15;apple;ipad;1;0;1;3.75
md4j4ty/a;"ipad a16 11' 256gb wifi  amarillo";402.15;apple;ipad;1;0;1;3.75
md4p4ty/a;"ipad a16 11' 256gb wifi  rosa";402.15;apple;ipad;1;0;1;3.75
md4q4ty/a;"ipad a16 11' 512gb wifi  plata";601.45;apple;ipad;1;0;1;3.75
md4y4ty/a;"ipad a16 11' 512gb wifi  azul";601.45;apple;ipad;0;0;1;3.75
md564zm/a;"superdrive usb";67.95;apple;regrabador;0;0;1;1
md5a4ty/a;"ipad a16 11' 512gb wifi  amarillo";601.45;apple;ipad;0;0;1;3.75
md5c4ty/a;"ipad a16 11' 512gb wifi  rosa";601.45;apple;ipad;0;0;1;3.75
md7f4ty/a;"ipad a16 11' 128gb wifi + cellular plata";434.04;apple;ipad;0;0;1;3.75
md7g4ty/a;"ipad a16 11' 128gb wifi + cellular azul";434.04;apple;ipad;2;0;1;3.75
md7h4ty/a;"ipad a16 11' 128gb wifi + cellular amarillo";434.04;apple;ipad;0;0;1;3.75
md7j4ty/a;"ipad a16 11' 128gb wifi + cellular rosa";434.04;apple;ipad;1;0;1;3.75
md7k4ty/a;"ipad a16 11' 256gb wifi + cellular plata";537.68;apple;ipad;1;0;1;3.75
md7l4ty/a;"ipad a16 11' 256gb wifi + cellular azul";537.68;apple;ipad;0;0;1;3.75
md7m4ty/a;"ipad a16 11' 256gb wifi + cellular amarillo";537.68;apple;ipad;0;0;1;3.75
md7n4ty/a;"ipad a16 11' 256gb wifi + cellular rosa";537.68;apple;ipad;0;0;1;3.75
md7p4ty/a;"ipad a16 11' 512gb wifi + cellular plata";736.97;apple;ipad;0;0;1;3.75
md7q4ty/a;"ipad a16 11' 512gb wifi + cellular azul";736.97;apple;ipad;0;0;1;3.75
md7r4ty/a;"ipad a16 11' 512gb wifi + cellular amarillo";736.97;apple;ipad;0;0;1;3.75
md7t4ty/a;"ipad a16 11' 512gb wifi + cellular rosa";736.97;apple;ipad;0;0;1;3.75
md8gsd55600-blk;"memoria ram ddr5 5600mhz pc5-44800 8gb 288-pin dimm  cl46";72.71;pny;memoria;0;0;1;0
mde14y/a;"macbook pro 14.2' chip m5 con cpu de 10 nucleos 16gb de memoria unificada 1tb ssd grafica m5 gpu de 10 nucleos touch id trackpad force touch pantalla liquid retina xdr teclado magic keyboard  retroiluminado tres puertos thunderbolt 4 un hdmi ranura para tarjetas sdxc toma de auriculares y puerto magsafe 3 sin adaptaptador de corriente  negro espacial";1493;apple;macbook;1;0;1;5.33
mde34y/a;"macbook pro 14.2' chip m5 con cpu de 10 nucleos 24gb de memoria unificada 1tb ssd grafica m5 gpu de 10 nucleos touch id trackpad force touch pantalla liquid retina xdr teclado magic keyboard  retroiluminado tres puertos thunderbolt 4 un hdmi ranura para tarjetas sdxc toma de auriculares y puerto magsafe 3 sin adaptaptador de corriente negro espacial";1665;apple;macbook;1;0;1;5.33
mde54y/a;"macbook pro 14.2' chip m5 con cpu de 10 nucleos 16gb de memoria unificada 1tb ssd grafica m5 gpu de 10 nucleos touch id trackpad force touch pantalla liquid retina xdr teclado magic keyboard  retroiluminado tres puertos thunderbolt 4 un hdmi ranura para tarjetas sdxc toma de auriculares y puerto magsafe 3 sin adaptaptador de corriente  plata";1493;apple;macbook;2;0;1;5.33
mde64y/a;"macbook pro 14.2' chip m5 con cpu de 10 nucleos 24gb de memoria unificada 1tb ssd grafica m5 gpu de 10 nucleos touch id trackpad force touch pantalla liquid retina xdr teclado magic keyboard  retroiluminado tres puertos thunderbolt 4 un hdmi ranura para tarjetas sdxc toma de auriculares y puerto magsafe 3 sin adaptaptador de corriente  plata";1665;apple;macbook;1;0;1;5.33
mdej4zm/a;"funda smart folio para ipad a16 11' blanco";60.42;apple;funda;0;0;1;0
mden4zm/a;"funda smart folio para ipad a16 11' amarillo limon";60.42;apple;funda;0;0;1;0
mdep4zm/a;"funda smart folio para ipad a16 11' sandia";60.42;apple;funda;0;0;1;0
mdeq4zm/a;"funda smart folio para ipad a16 11' azul celeste";60.42;apple;funda;0;0;1;0
mdew4zd/a;"altavoces 1.0 homepod medianoche";285.14;apple;altavoz;-1;0;1;0
mdey4zd/a;"altavoces 1.0 homepod blanco ";285.14;apple;altavoz;0;0;1;0
mdfv4y/a;"funda con teclado magic keyboard para ipad air 11' m4, m3, m2, quinta y cuarta generacion blanco";268.18;apple;teclado;4;0;1;0
mdfw4y/a;"funda con teclado magic keyboard para ipad air 13' m4, m3, m2 blanco ";285.14;apple;teclado;2;0;1;0
mdh74y/a;"macbook air 13.6' chip m5 con cpu de 10 nucleos 16gb de memoria unificada 512gb ssd grafica m5 gpu de 8 nucleos touch id trackpad force pantalla liquid retina teclado magic keyboard sin adaptador de corriente plata";913.97;apple;macbook;1;0;1;5.33
mdh84y/a;"macbook air 13.6' chip m5 con cpu de 10 nucleos 16gb de memoria unificada 1tb ssd grafica m5 gpu de 10 nucleos touch id trackpad force pantalla liquid retina teclado magic keyboard sin adaptador de corriente plata";1105.58;apple;macbook;1;0;1;5.33
mdh94y/a;"macbook air 13.6' chip m5 con cpu de 10 nucleos 24gb de memoria unificada 1tb ssd grafica m5 gpu de 10 nucleos touch id trackpad force pantalla liquid retina teclado magic keyboard sin adaptador de corriente plata";1297.18;apple;macbook;0;0;1;5.33
mdha4y/a;"macbook air 13.6' chip m5 con cpu de 10 nucleos 16gb de memoria unificada 512gb ssd grafica m5 gpu de 8 nucleos touch id trackpad force pantalla liquid retina teclado magic keyboard sin adaptador de corriente blanco estrella";913.97;apple;macbook;3;0;1;5.33
